
79,quantile_20,DN_Quantile_20,"distribution",DN_Quantile_20
80,quantile_30,DN_Quantile_30,"distribution",DN_Quantile_30
81,quantile_40,DN_Quantile_40,"distribution",DN_Quantile_40
82,quantile_50,DN_Quantile_50,"distribution",DN_Quantile_50
83,quantile_60,DN_Quantile_60,"distribution",DN_Quantile_60
84,quantile_70,DN_Quantile_70,"distribution",DN_Quantile_70
85,quantile_80,DN_Quantile_80,"distribution",DN_Quantile_80
86,quantile_90,DN_Quantile_90,"distribution",DN_Quantile_90
87,quantile_91,DN_Quantile_91,"distribution",DN_Quantile_91
88,quantile_92,DN_Quantile_92,"distribution",DN_Quantile_92
89,quantile_93,DN_Quantile_93,"distribution",DN_Quantile_93
90,quantile_94,DN_Quantile_94,"distribution",DN_Quantile_94
91,quantile_95,DN_Quantile_95,"distribution",DN_Quantile_95
92,quantile_96,DN_Quantile_96,"distribution",DN_Quantile_96
93,quantile_97,DN_Quantile_97,"distribution",DN_Quantile_97
94,quantile_98,DN_Quantile_98,"distribution",DN_Quantile_98
95,quantile_99,DN_Quantile_99,"distribution",DN_Quantile_99
96,HighLowMu,DN_HighLowMu,"distribution,raw,locationDependent,spreadDependent",DN_HighLowMu
98,ST_SimpleStats_zcross,ST_SimpleStats_zcross,"noisiness",ST_SimpleStats_zcross
99,ST_SimpleStats_pmcross,ST_SimpleStats_pmcross,"distribution",ST_SimpleStats_pmcross
101,DN_ProportionValues_geq0,DN_ProportionValues_geq0,"distribution,raw,locationDependent",DN_ProportionValues_geq0
102,DN_ProportionValues_positive,DN_ProportionValues_positive,"distribution,raw,locationDependent",DN_ProportionValues_positive
103,AC_1,AC_1,"correlation",AC_1
104,AC_2,AC_2,"correlation",AC_2
105,AC_3,AC_3,"correlation",AC_3
106,AC_4,AC_4,"correlation",AC_4
107,AC_5,AC_5,"correlation",AC_5
108,AC_6,AC_6,"correlation",AC_6
109,AC_7,AC_7,"correlation",AC_7
110,AC_8,AC_8,"correlation",AC_8
111,AC_9,AC_9,"correlation",AC_9
112,AC_10,AC_10,"correlation",AC_10
113,AC_11,AC_11,"correlation",AC_11
114,AC_12,AC_12,"correlation",AC_12
115,AC_13,AC_13,"correlation",AC_13
116,AC_14,AC_14,"correlation",AC_14
117,AC_15,AC_15,"correlation",AC_15
118,AC_16,AC_16,"correlation",AC_16
119,AC_17,AC_17,"correlation",AC_17
120,AC_18,AC_18,"correlation",AC_18
121,AC_19,AC_19,"correlation",AC_19
122,AC_20,AC_20,"correlation",AC_20
123,AC_21,AC_21,"correlation",AC_21
124,AC_22,AC_22,"correlation",AC_22
125,AC_23,AC_23,"correlation",AC_23
126,AC_24,AC_24,"correlation",AC_24
127,AC_25,AC_25,"correlation",AC_25
128,AC_26,AC_26,"correlation",AC_26
129,AC_27,AC_27,"correlation",AC_27
130,AC_28,AC_28,"correlation",AC_28
131,AC_29,AC_29,"correlation",AC_29
132,AC_30,AC_30,"correlation",AC_30
133,AC_31,AC_31,"correlation",AC_31
134,AC_32,AC_32,"correlation",AC_32
135,AC_33,AC_33,"correlation",AC_33
136,AC_34,AC_34,"correlation",AC_34
137,AC_35,AC_35,"correlation",AC_35
138,AC_36,AC_36,"correlation",AC_36
139,AC_37,AC_37,"correlation",AC_37
140,AC_38,AC_38,"correlation",AC_38
141,AC_39,AC_39,"correlation",AC_39
142,AC_40,AC_40,"correlation",AC_40
144,firstZero_acf_point,CO_FirstCrossing_acf_0,"correlation,timescale",CO_FirstCrossing_acf_0.pointOfCrossing
146,firstCrossing_1e_acf_point,CO_FirstCrossing_acf_1e,"correlation,timescale",CO_FirstCrossing_acf_1e.pointOfCrossing
159,AC_nl_12,AC_nl_12,"correlation,nonlinearautocorr",AC_nl_12
160,AC_nl_123,AC_nl_123,"correlation,nonlinearautocorr",AC_nl_123
161,AC_nl_1234,AC_nl_1234,"correlation,nonlinearautocorr",AC_nl_1234
162,AC_nl_12345,AC_nl_12345,"correlation,nonlinearautocorr",AC_nl_12345
163,AC_nl_123456,AC_nl_123456,"correlation,nonlinearautocorr",AC_nl_123456
164,AC_nl_1234567,AC_nl_1234567,"correlation,nonlinearautocorr",AC_nl_1234567
165,AC_nl_12345678,AC_nl_12345678,"correlation,nonlinearautocorr",AC_nl_12345678
166,AC_nl_13,AC_nl_13,"correlation,nonlinearautocorr",AC_nl_13
167,AC_nl_24,AC_nl_24,"correlation,nonlinearautocorr",AC_nl_24
