0.015399,-0.043146,-0.56353,1.579
-0.0087666,0.010104,0.32082,-0.36978
0.06628,0.0072076,-2.4256,-0.26377
0.1115,-0.033456,-4.0805,1.2243
0.092025,-0.012204,-3.3677,0.4466
0.081139,-0.0023793,-2.9694,0.087071
0.063858,0.012236,-2.337,-0.44779
0.057526,0.017116,-2.1052,-0.62639
0.050361,0.017046,-1.843,-0.62382
0.59755,-0.58676,-21.868,21.473
-0.68082,0.59562,24.915,-21.797
0.62869,-0.066622,-23.007,2.4381
0.62869,-0.066622,-23.007,2.4381
0.60357,-0.051705,-22.088,1.8922
0.56577,-0.032003,-20.705,1.1712
0.56523,-0.031814,-20.685,1.1642
-0.083668,0.0010336,3.0619,-0.037826
1.0156,-0.74439,-37.166,27.242
-0.094916,0.020803,3.4735,-0.76132
0.7377,-0.62716,-26.997,22.952
-0.068339,0.015949,2.5009,-0.58368
0.47453,-0.48963,-17.366,17.918
-0.034249,0.0040977,1.2534,-0.14996
0.29023,-0.37337,-10.621,13.664
-0.013017,-0.0026099,0.47636,0.095512
-0.091038,0.016464,3.3316,-0.60251
0.54231,-0.066492,-19.846,2.4333
-0.077254,0.02145,2.8272,-0.785
0.37043,-0.028574,-13.556,1.0457
-0.05657,0.021995,2.0702,-0.80493
0.2503,-0.006648,-9.1599,0.24329
-0.054137,0.030182,1.9812,-1.1046
-0.05868,-0.016618,2.1474,0.60815
-0.041186,-0.009055,1.5072,0.33137
-0.048218,-0.0088193,1.7646,0.32275
0.024573,0.00010387,-0.89926,-0.0038013
0.055306,-0.018001,-2.024,0.65878
0.84944,-0.76503,-31.086,27.997
0.73426,-0.62081,-26.871,22.719
-0.20956,0.14393,7.6689,-5.2672
0.87425,-0.70439,-31.994,25.778
0.87462,-0.68693,-32.007,25.139
0.079403,-0.086183,-2.9058,3.154
0.28339,-0.16557,-10.371,6.0593
0.28117,-0.17542,-10.29,6.4196
1.2758,-0.76133,-46.688,27.862
1.275,-0.7972,-46.659,29.174
1.0065,-0.76893,-36.834,28.14
-1.3397,0.70527,49.026,-25.81
